Number One, Number Two, Their GCD, Time Spent (Milliseconds)
 593       , 162       , 1        , 0.020999999999999998     
 897       , 115       , 23       , 0.012                    
 963       , 518       , 1        , 0.04                     
 18        , 362       , 2        , 0.003                    
 256       , 931       , 1        , 0.019                    
 718       , 237       , 1        , 0.018000000000000002     
 346       , 311       , 1        , 0.024                    
 856       , 139       , 1        , 0.011                    
 621       , 610       , 1        , 0.054                    
 20        , 211       , 1        , 0.004                    
 270       , 76        , 2        , 0.008                    
 352       , 268       , 4        , 0.022                    
 546       , 210       , 42       , 0.018000000000000002     
 468       , 915       , 3        , 0.041999999999999996     
 511       , 958       , 1        , 0.044                    
 574       , 631       , 1        , 0.05                     
 854       , 640       , 2        , 0.056                    
 208       , 365       , 1        , 0.018000000000000002     
 359       , 738       , 1        , 0.030000000000000002     
 254       , 331       , 1        , 0.020999999999999998     
 839       , 621       , 1        , 0.054                    
 341       , 627       , 11       , 0.029                    
 24        , 603       , 3        , 0.005                    
 366       , 196       , 2        , 0.017                    
 787       , 217       , 1        , 0.018000000000000002     
 303       , 563       , 1        , 0.025                    
 847       , 536       , 1        , 0.046                    
 746       , 169       , 1        , 0.014                    
 358       , 104       , 2        , 0.01                     
 55        , 102       , 1        , 0.006                    
 713       , 573       , 1        , 0.05                     
 437       , 485       , 1        , 0.037                    
 132       , 317       , 1        , 0.012                    
 602       , 663       , 1        , 0.053                    
 678       , 873       , 3        , 0.060000000000000005     
 526       , 576       , 2        , 0.046                    
 366       , 845       , 1        , 0.031                    
 663       , 121       , 1        , 0.011                    
 586       , 649       , 1        , 0.051                    
 175       , 345       , 5        , 0.015000000000000001     
 644       , 358       , 2        , 0.031                    
 618       , 455       , 1        , 0.039                    
 754       , 71        , 1        , 0.007                    
 288       , 627       , 3        , 0.027                    
 790       , 60        , 10       , 0.006                    
 375       , 629       , 1        , 0.032                    
 235       , 58        , 1        , 0.006                    
 552       , 80        , 8        , 0.008                    
 286       , 929       , 1        , 0.023                    
 95        , 155       , 5        , 0.009000000000000001     
 684       , 547       , 1        , 0.048                    
 499       , 59        , 1        , 0.006                    
 837       , 508       , 1        , 0.044                    
 773       , 492       , 1        , 0.041999999999999996     
 915       , 677       , 1        , 0.059                    
 75        , 428       , 1        , 0.007                    
 783       , 693       , 9        , 0.060000000000000005     
 212       , 115       , 1        , 0.01                     
 873       , 790       , 1        , 0.06899999999999999      
 287       , 782       , 1        , 0.023                    
 169       , 914       , 1        , 0.014                    
 539       , 797       , 1        , 0.045000000000000005     
 542       , 274       , 2        , 0.023                    
 863       , 347       , 1        , 0.029                    
 526       , 915       , 1        , 0.043000000000000003     
 381       , 731       , 1        , 0.032                    
 660       , 179       , 1        , 0.022                    
 914       , 323       , 1        , 0.027                    
 825       , 508       , 1        , 0.045000000000000005     
 818       , 198       , 2        , 0.016                    
 168       , 992       , 8        , 0.015000000000000001     
 659       , 735       , 1        , 0.054                    
 355       , 269       , 1        , 0.02                     
 579       , 391       , 1        , 0.032                    
 149       , 301       , 1        , 0.013                    
 872       , 410       , 2        , 0.034999999999999996     
 1         , 17        , 1        , 0.002                    
 566       , 336       , 2        , 0.029                    
 583       , 581       , 1        , 0.05                     
 389       , 73        , 1        , 0.007                    
 321       , 208       , 1        , 0.017                    
 974       , 738       , 2        , 0.064                    
 370       , 548       , 2        , 0.031                    
 999       , 664       , 1        , 0.058                    
 209       , 192       , 1        , 0.014                    
 205       , 650       , 5        , 0.015000000000000001     
 380       , 289       , 1        , 0.020999999999999998     
 85        , 956       , 1        , 0.007                    
 943       , 622       , 1        , 0.048                    
 613       , 117       , 1        , 0.01                     
 153       , 411       , 3        , 0.013                    
 565       , 168       , 1        , 0.014                    
 493       , 169       , 1        , 0.014                    
 978       , 981       , 3        , 0.089                    
 168       , 997       , 1        , 0.016                    
 48        , 629       , 1        , 0.006                    
 118       , 583       , 1        , 0.011                    
 829       , 258       , 1        , 0.022                    
 60        , 769       , 1        , 0.007                    
 410       , 239       , 1        , 0.02                     
 619       , 74        , 1        , 0.007                    
 957       , 818       , 1        , 0.07200000000000001      
 206       , 769       , 1        , 0.017                    
