Number One, Number Two, Their GCD, Time Spent (Milliseconds)
 676       , 37        , 1        , 0.008                    
 947       , 759       , 1        , 0.003                    
 832       , 328       , 8        , 0.002                    
 774       , 327       , 3        , 0.002                    
 824       , 854       , 2        , 0.002                    
 207       , 421       , 1        , 0.002                    
 808       , 276       , 4        , 0.002                    
 182       , 871       , 13       , 0.007                    
 879       , 307       , 1        , 0.003                    
 174       , 10        , 2        , 0.002                    
 760       , 481       , 1        , 0.003                    
 322       , 908       , 2        , 0.003                    
 777       , 862       , 1        , 0.001                    
 217       , 943       , 1        , 0.002                    
 105       , 762       , 3        , 0.001                    
 855       , 509       , 1        , 0.002                    
 812       , 920       , 4        , 0.002                    
 775       , 221       , 1        , 0.002                    
 162       , 198       , 18       , 0.002                    
 970       , 994       , 2        , 0.003                    
 341       , 92        , 1        , 0.002                    
 716       , 614       , 2        , 0.002                    
 595       , 861       , 7        , 0.002                    
 818       , 828       , 2        , 0.002                    
 230       , 809       , 1        , 0.002                    
 59        , 681       , 1        , 0.002                    
 23        , 963       , 1        , 0.002                    
 443       , 305       , 1        , 0.002                    
 940       , 104       , 4        , 0.002                    
 252       , 821       , 1        , 0.001                    
 411       , 824       , 1        , 0.001                    
 974       , 892       , 2        , 0.001                    
 355       , 998       , 1        , 0.001                    
 689       , 545       , 1        , 0.001                    
 848       , 534       , 2        , 0.001                    
 923       , 737       , 1        , 0.001                    
 979       , 870       , 1        , 0.001                    
 290       , 928       , 58       , 0.001                    
 970       , 997       , 1        , 0.001                    
 178       , 229       , 1        , 0.001                    
 850       , 89        , 1        , 0.001                    
 623       , 44        , 1        , 0.001                    
 118       , 508       , 2        , 0.002                    
 950       , 890       , 10       , 0.001                    
 847       , 916       , 1        , 0.001                    
 786       , 466       , 2        , 0.001                    
 519       , 761       , 1        , 0.001                    
 84        , 876       , 12       , 0.001                    
 392       , 954       , 2        , 0.001                    
 327       , 127       , 1        , 0.001                    
 568       , 100       , 4        , 0.001                    
 74        , 858       , 2        , 0.001                    
 501       , 619       , 1        , 0.001                    
 353       , 709       , 1        , 0.0                      
 293       , 213       , 1        , 0.001                    
 734       , 568       , 2        , 0.001                    
 732       , 328       , 4        , 0.0                      
 564       , 869       , 1        , 0.001                    
 965       , 546       , 1        , 0.001                    
 155       , 844       , 1        , 0.001                    
 883       , 202       , 1        , 0.001                    
 112       , 681       , 1        , 0.001                    
 326       , 716       , 2        , 0.001                    
 315       , 562       , 1        , 0.001                    
 720       , 49        , 1        , 0.001                    
 371       , 275       , 1        , 0.001                    
 936       , 97        , 1        , 0.001                    
 631       , 80        , 1        , 0.001                    
 439       , 519       , 1        , 0.001                    
 531       , 507       , 3        , 0.001                    
 907       , 710       , 1        , 0.001                    
 961       , 167       , 1        , 0.001                    
 218       , 599       , 1        , 0.001                    
 746       , 935       , 1        , 0.001                    
 590       , 943       , 1        , 0.001                    
 24        , 444       , 12       , 0.0                      
 459       , 10        , 1        , 0.0                      
 916       , 914       , 2        , 0.001                    
 81        , 381       , 3        , 0.001                    
 517       , 524       , 1        , 0.001                    
 533       , 169       , 13       , 0.001                    
 963       , 412       , 1        , 0.001                    
 238       , 614       , 2        , 0.001                    
 414       , 290       , 2        , 0.001                    
 444       , 803       , 1        , 0.002                    
 993       , 425       , 1        , 0.001                    
 40        , 577       , 1        , 0.001                    
 220       , 802       , 2        , 0.002                    
 77        , 584       , 1        , 0.001                    
 247       , 564       , 1        , 0.001                    
 561       , 708       , 3        , 0.001                    
 736       , 257       , 1        , 0.001                    
 655       , 635       , 5        , 0.001                    
 200       , 414       , 2        , 0.001                    
 999       , 232       , 1        , 0.001                    
 897       , 799       , 1        , 0.001                    
 400       , 838       , 2        , 0.001                    
 277       , 84        , 1        , 0.001                    
 893       , 730       , 1        , 0.001                    
 728       , 286       , 26       , 0.0                      
 519       , 375       , 3        , 0.001                    
 685       , 637       , 1        , 0.001                    
 236       , 625       , 1        , 0.001                    
 471       , 4         , 1        , 0.0                      
 295       , 997       , 1        , 0.001                    
 291       , 851       , 1        , 0.001                    
 6         , 602       , 2        , 0.0                      
 91        , 223       , 1        , 0.001                    
 67        , 101       , 1        , 0.001                    
 433       , 120       , 1        , 0.001                    
 846       , 698       , 2        , 0.001                    
 260       , 586       , 2        , 0.001                    
 395       , 757       , 1        , 0.001                    
 962       , 324       , 2        , 0.001                    
 518       , 527       , 1        , 0.001                    
 261       , 334       , 1        , 0.001                    
 799       , 893       , 47       , 0.001                    
 119       , 879       , 1        , 0.001                    
 176       , 535       , 1        , 0.0                      
 202       , 69        , 1        , 0.001                    
 735       , 791       , 7        , 0.001                    
 907       , 249       , 1        , 0.001                    
 614       , 867       , 1        , 0.001                    
 922       , 654       , 2        , 0.001                    
 690       , 493       , 1        , 0.001                    
 548       , 448       , 4        , 0.001                    
 720       , 493       , 1        , 0.002                    
 41        , 491       , 1        , 0.001                    
 382       , 432       , 2        , 0.001                    
 77        , 753       , 1        , 0.001                    
 818       , 293       , 1        , 0.001                    
 488       , 972       , 4        , 0.001                    
 72        , 669       , 3        , 0.001                    
 926       , 899       , 1        , 0.001                    
 270       , 57        , 3        , 0.0                      
 236       , 894       , 2        , 0.001                    
 940       , 816       , 4        , 0.001                    
 794       , 244       , 2        , 0.001                    
 917       , 922       , 1        , 0.001                    
 950       , 173       , 1        , 0.001                    
 649       , 226       , 1        , 0.002                    
 234       , 543       , 3        , 0.001                    
 165       , 692       , 1        , 0.002                    
 530       , 814       , 2        , 0.002                    
 443       , 307       , 1        , 0.002                    
 25        , 915       , 5        , 0.001                    
 103       , 934       , 1        , 0.001                    
 765       , 151       , 1        , 0.001                    
 996       , 117       , 3        , 0.002                    
 585       , 556       , 1        , 0.002                    
 626       , 950       , 2        , 0.002                    
 192       , 872       , 8        , 0.002                    
 691       , 598       , 1        , 0.002                    
 423       , 767       , 1        , 0.002                    
 312       , 773       , 1        , 0.002                    
 951       , 589       , 1        , 0.002                    
 445       , 872       , 1        , 0.002                    
 225       , 699       , 3        , 0.002                    
 275       , 792       , 11       , 0.001                    
 421       , 510       , 1        , 0.002                    
 750       , 718       , 2        , 0.002                    
 38        , 181       , 1        , 0.002                    
 256       , 100       , 4        , 0.001                    
 764       , 337       , 1        , 0.002                    
 955       , 656       , 1        , 0.002                    
 910       , 419       , 1        , 0.002                    
 932       , 213       , 1        , 0.001                    
 241       , 997       , 1        , 0.001                    
 784       , 440       , 8        , 0.002                    
 886       , 790       , 2        , 0.002                    
 179       , 415       , 1        , 0.001                    
 790       , 293       , 1        , 0.001                    
 912       , 454       , 2        , 0.001                    
 56        , 688       , 8        , 0.002                    
 397       , 533       , 1        , 0.002                    
 288       , 812       , 4        , 0.002                    
 820       , 938       , 2        , 0.002                    
 856       , 579       , 1        , 0.001                    
 175       , 702       , 1        , 0.001                    
 799       , 22        , 1        , 0.001                    
 651       , 602       , 7        , 0.002                    
 292       , 987       , 1        , 0.002                    
 806       , 541       , 1        , 0.001                    
 932       , 686       , 2        , 0.002                    
 247       , 676       , 13       , 0.002                    
 308       , 837       , 1        , 0.002                    
 252       , 923       , 1        , 0.002                    
 321       , 261       , 3        , 0.002                    
 260       , 12        , 4        , 0.002                    
 855       , 81        , 9        , 0.001                    
 861       , 815       , 1        , 0.002                    
 796       , 123       , 1        , 0.002                    
 158       , 186       , 2        , 0.002                    
 86        , 935       , 1        , 0.002                    
 578       , 778       , 2        , 0.002                    
 62        , 93        , 31       , 0.002                    
 101       , 610       , 1        , 0.002                    
 285       , 29        , 1        , 0.002                    
 653       , 117       , 1        , 0.002                    
 186       , 220       , 2        , 0.001                    
 842       , 205       , 1        , 0.001                    
 943       , 954       , 1        , 0.002                    
 32        , 632       , 8        , 0.001                    
 295       , 815       , 5        , 0.002                    
 753       , 483       , 3        , 0.002                    
 386       , 186       , 2        , 0.001                    
 65        , 346       , 1        , 0.001                    
 331       , 94        , 1        , 0.002                    
 288       , 573       , 3        , 0.002                    
 885       , 744       , 3        , 0.002                    
 833       , 591       , 1        , 0.002                    
 596       , 587       , 1        , 0.002                    
