Input Size , Value of n *log(n) , Time Spent (Milliseconds) , Value of n * log(n) / Time 
2000,15201.804919084165,0.00286102294921875,5.313416e+06
2000,15201.804919084165,0.0032651424407958984,4.655786e+06
4000,33176.19856040811,0.006324052810668945,5.246034e+06
4000,33176.19856040811,0.006255149841308594,5.303822e+06
6000,52197.08848926115,0.010039091110229492,5.199384e+06
6000,52197.08848926115,0.010283946990966797,5.075589e+06
8000,71897.57456529578,0.013866424560546875,5.185012e+06
8000,71897.57456529578,0.013568401336669922,5.298898e+06
10000,92103.40371976183,0.017486095428466797,5.267237e+06
10000,92103.40371976183,0.017556428909301758,5.246135e+06
12000,112711.94314524165,0.02181243896484375,5.167324e+06
12000,112711.94314524165,0.021510601043701172,5.239832e+06
14000,133655.37652036353,0.025639057159423828,5.212960e+06
14000,133655.37652036353,0.02688765525817871,4.970883e+06
16000,154885.5040195507,0.03014683723449707,5.137703e+06
16000,154885.5040195507,0.0305788516998291,5.065118e+06
18000,176366.28666380944,0.035994768142700195,4.899776e+06
18000,176366.28666380944,0.035858869552612305,4.918345e+06
